Date,Close,High,Low,Open,Volume
2020-01-02,208.08885192871094,208.08885192871094,205.99024284000404,206.39455878794698,30969400
2020-01-03,206.18284606933594,207.42468770880404,205.31645654011845,205.33571388427097,27518900
2020-01-06,207.51126098632812,207.5401396493011,204.31523320861092,204.56551985072494,21655300
2020-01-07,207.48236083984375,208.06958474123246,206.82775829484316,207.5882541561284,22139300
2020-01-08,209.04185485839844,209.9948946485339,207.12616864409372,207.45346989721557,26397300
2020-01-09,210.81321716308594,211.21753317284433,209.58101179361842,210.7650811571285,23547000
2020-01-10,210.2740936279297,211.66032820349986,209.8986563211332,211.64108555426068,21898500
2020-01-13,212.70004272460938,212.72892139275268,210.80359850827728,211.14053588867964,22756900
2020-01-14,211.86251831054688,212.95033037063425,211.53521696666027,212.59413567141934,24418100
2020-01-15,211.94912719726562,212.94066711688131,211.25600991708154,211.97800585985289,25742100
2020-01-16,213.9803466796875,214.0188613564895,212.55561210796517,213.0080640815941,18805000
2020-01-17,215.03932189941406,215.21259391168377,213.82635905733343,214.94304987767654,24325200
2020-01-21,214.9430694580078,215.4821575751307,214.3462239982003,214.4424813396582,21146300
2020-01-22,215.51097106933594,216.7431763041171,215.24142709229287,216.03081637437975,20736400
2020-01-23,216.20411682128906,216.30038883535866,214.38468739213076,215.38586345788542,26496100
2020-01-24,214.3845977783203,217.44586733973466,213.3930581418692,217.2148234159733,37436500
2020-01-27,209.95643615722656,211.09236944455108,209.07077483169581,209.5424841584409,42264400
2020-01-28,213.18133544921875,213.67230209824288,210.88057559990997,211.43892089957654,26731900
2020-01-29,213.52793884277344,214.60611499136584,212.58453471275507,214.36544962326587,28924500
2020-01-30,214.28842163085938,214.38467895209246,211.48707358685505,212.15131226626292,39568100
2020-01-31,210.89028930664062,215.2126306032744,210.1393997249749,215.18375192963927,52015800
2020-02-03,214.07666015625,214.567612212749,211.77589985461663,211.9202931979845,25408600
2020-02-04,218.97657775878906,219.3520150965256,216.2618657097352,217.00311905979584,30691200
2020-02-05,219.6985626220703,221.6527638820413,218.37972134420056,221.61426389329836,38534800
2020-02-06,221.594970703125,221.65272802141786,219.46748311539727,220.2472362904374,22467100
2020-02-07,220.64193725585938,221.83564239487563,220.00657735820346,220.60343727223344,25884900
2020-02-10,223.30853271484375,223.3181540393469,219.8525823314005,219.9103396565095,21478900
2020-02-11,223.34707641601562,225.2820353201535,222.75985234739906,224.54078189506916,30198000
2020-02-12,225.5226593017578,225.62855262876883,224.1075460630854,224.66589136104858,24471300
2020-02-13,225.23385620117188,226.15800278500447,223.68397098484598,223.9535149625509,22773200
2020-02-14,225.87884521484375,226.09063187443948,224.82954793078483,225.59004388911814,23438500
2020-02-18,225.96548461914062,226.3890579447303,224.54074999683095,224.78141532373002,24394500
2020-02-19,228.13148498535156,228.6031943398197,227.04368763707714,227.3132316427599,22230500
2020-02-20,226.01364135742188,228.10261482386827,223.2219291848919,227.6309201408609,42604000
2020-02-21,221.6720428466797,225.27238705173554,220.75751746209775,224.887328370558,66017200
2020-02-24,213.1236114501953,215.87682370236712,212.0357993437528,213.40277679916014,84522600
2020-02-25,207.32838439941406,215.62653579132436,206.72191769607358,214.9141610556472,97743000
2020-02-26,208.39694213867188,212.05505850846635,206.875935317424,208.61836484356425,79537700
2020-02-27,197.96163940429688,208.33912548414438,197.82686743010575,203.0252317935276,121822600
2020-02-28,198.11570739746094,199.43454873734376,190.77059664727153,191.2230486537657,148173700
2020-03-02,208.33920288085938,208.4836109212388,198.25051433754896,201.08074153601797,112933900
2020-03-03,201.65829467773438,211.41005881468837,199.86774398634094,209.00340544932334,131953500
2020-03-04,210.0719757080078,210.17786905149774,203.47773912232438,205.35494063774132,73086200
2020-03-05,203.68951416015625,208.2814129720825,202.2551581310623,204.74844753449452,78705500
2020-03-06,200.25282287597656,201.34062023865172,195.33362267357404,197.02790140158754,89828400
2020-03-09,186.34239196777344,193.64898916317597,184.93689972694642,186.25574126985805,116424000
2020-03-10,196.48883056640625,196.67173859347517,186.4482639320729,193.6008461955448,100599200
2020-03-11,187.9307403564453,193.25425617585452,185.53370842889754,191.9065362300721,89168800
2020-03-12,170.6990966796875,183.65650863431884,170.33328071109597,175.2909801794273,137820700
2020-03-13,185.1582489013672,187.21834325086076,171.47884168071033,180.08503502968375,134882000
2020-03-16,162.9785614013672,177.78428224075182,162.8437894066201,167.6474599036412,92054400
2020-03-17,175.33914184570312,177.5051299343978,163.44064669091188,168.918192252125,121257100
2020-03-18,170.0059814453125,172.5281492023074,160.5718983230018,165.202296553107,114156300
2020-03-19,171.02645874023438,176.63877747861915,165.2216106248843,169.13001426457407,120896500
2020-03-20,164.3262939453125,176.04188112854132,163.7487059331409,174.9540837622137,118983900
2020-03-23,164.4449920654297,168.06266598281076,159.11011538587377,164.88875182256416,124639800
2020-03-24,177.1791534423828,177.34315284922098,171.67063696878748,173.5614805023816,94881800
2020-03-25,175.8671417236328,182.82271258391634,173.6290010211754,177.91232809492413,88754900
2020-03-26,185.12840270996094,185.91947436692502,177.13093911251065,177.38175917136832,79887600
2020-03-27,178.76129150390625,183.78743713744916,178.14387587751088,180.33376341717982,58845000
2020-03-30,185.263427734375,185.69756024276714,179.76456807167224,180.45916242068188,49356900
2020-03-31,183.68130493164062,188.36016773929651,182.5236525554176,184.95473284972996,62659300
2020-04-01,175.87680053710938,181.0380202669156,174.47796982315774,178.25000066836228,53715400
2020-04-02,179.44618225097656,183.39186790261192,174.5840373099753,174.8445138290625,56465300
2020-04-03,176.89935302734375,180.46880159060956,174.89274895902759,179.00243424831183,47487600
2020-04-06,189.54676818847656,190.67548040616995,182.51401830274105,183.75849134675707,64763500
2020-04-07,189.46957397460938,195.50868507557513,189.08369477137842,195.22891014093685,69904500
2020-04-08,193.4924774169922,194.0712963367422,189.24773173707067,191.15785919684234,45940400
2020-04-09,193.77220153808594,196.04892419321612,192.0067754575091,195.20962881995843,68252600
2020-04-13,195.8656463623047,196.24188378038906,191.73667659243273,192.94256764018388,42853900
2020-04-14,204.38404846191406,205.0014640471716,199.13600862705067,199.9174236171041,63959600
2020-04-15,202.03981018066406,204.35512991098545,199.81132579648803,201.12333589423176,47036000
2020-04-16,205.72500610351562,206.8054797369004,202.29063086567177,204.22005647977275,64657400
2020-04-17,207.6929931640625,208.86994384961935,204.59627360380796,208.54194506062095,62863200
2020-04-20,205.23301696777344,208.26221472736088,205.06901754974783,205.83113422414328,38249100
2020-04-21,197.6599884033203,203.7087412730322,196.44445567672878,203.16850450565815,72932800
2020-04-22,203.52545166015625,204.856759976232,200.97861056876033,201.72144351385245,40089100
2020-04-23,203.09133911132812,206.8730114526164,202.6861615090846,204.3165137465589,43278500
2020-04-24,206.294189453125,206.73796383493092,202.10733927501343,203.5254683224947,34231900
